title_id,serial,name,region
0004000000073700,CTR-ABQJ,Bokujou Monogatari: Hajimari no Daichi (Rev02),JPN
0004000000166A00,CTR-BG6J,Gyakuten Saiban 6,JPN
0004000000031000,CTR-ADBJ,Nintendogs + Cats: French Bulldog & New Friends (Rev02),JPN
000400000018C300,CTR-BMJP,Mike the Knight and the Great Gallop,EUR
0004000000183600,CTR-AT3A,Kirby: Planet Robobot,USA
0004000000192400,CTR-BGXP,Mario & Sonic at the Rio 2016 Olympic Games (DEMO),EUR
000400000008F800,CTR-AQEK,The Legend of Zelda: Ocarina of Time 3D,KOR
0004000000055D00,CTR-EKJA,Pokemon X,KOR
0004000000055E00,CTR-EK2A,Pokemon Y,KOR
000400000011C400,CTR-ECRA,Pokemon Omega Ruby,KOR
000400000011C500,CTR-ECLA,Pokemon Alpha Sapphire,KOR
0004000000150200,CTR-BNUK,Senran Kagura 2: Deep Crimson,KOR
0004000000167600,CTR-AYWK,Yo-Kai Watch,KOR
0004000000183100,CTR-AR6K,Rodea the Sky Soldier,KOR
0004000000105000,CTR-AH4K,Monster Hunter 4,KOR
0004000000091E00,CTR-ATKK,Tekken 3D Prime Edition,KOR
0004000000190E00,CTR-BT8J,Taiko no Tatsujin: Don Don! Mystery Adventure,JPN
0004000000152C00,CTR-BKJJ,Kouenji Joshi Soccer 3: Koisuru Eleven Itsuka wa Heaven,JPN
0004000000185300,CTR-BB3J,Bokujou Monogatari: 3-tsu no Sato no Taisetsu na Tomodachi,JPN
0004000000155100,CTR-BYSJ,Youkai Watch 2: Shinuchi (Rev01),JPN
000400000016C700,CTR-BYAJ,Yo-kai Watch Busters: Akanekodan (Rev01),JPN
000400000016C600,CTR-BYBJ,Yo-kai Watch Busters: Shiroinutai (Rev01),JPN
000400000017EF00,CTR-BLWD,LEGO Star Wars: Das Erwachen der Macht,GER
000400000017B200,CTR-BZEE,Zero Escape: Zero Time Dilemma,USA
000400000017ED00,CTR-BLWP,LEGO Star Wars: The Force Awakens,EUR
0004000000179300,CTR-AKMP,Teddy Together,EUR
000400000017F900,CTR-BLWE,LEGO Star Wars: The Force Awakens,USA
00040000000F5700,CTR-AY3J,Culdcept Revolt,JPN
0004000000180F00,CTR-BZGJ,Zero Escape: Toki no Dilemma,JPN
000400000017EE00,CTR-BLWF,LEGO Star Wars: Le Reveil de la Force,FRA
000400000017F000,CTR-BLWS,LEGO Star Wars: El Despertar de la Fuerza,SPA
000400000017F100,CTR-BLWI,LEGO Star Wars: Il Risveglio della Forza,ITA
0004000000185B00,CTR-BXXP,Monster Hunter Generations,EUR
0004000000161600,CTR-BWDP,Disney Art Academy,EUR
000400000018F800,CTR-BD7E,7th Dragon III Code: VFD,USA
0004000000064D00,CTR-AGAJ,Mario Tennis Open (Rev01),JPN
0004000000191000,CTR-BY3J,Yo-Kai Watch 3: Sushi,JPN
0004000000191100,CTR-BY4J,Yo-Kai Watch 3: Tempura,JPN
0004000000187000,CTR-BXXE,Monster Hunter Generations,USA
0004000000197600,CTR-BVSJ,Sumikko Gurashi: Mura o Tsukurun desu,JPN
0004000000182F00,CTR-BPWJ,Puzzle & Dragons X: Kami no Shou,JPN
0004000000182E00,CTR-BPVJ,Puzzle & Dragons X: Ryuu no Shou,JPN
0004000000197300,CTR-KH7J,Higanbana no Saku Yoru ni Daiichiya,JPN
