serial,name,region
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Fi) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Fr) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (It) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Ko) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Pt-BR) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Pt-PT) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Ru) (v0.8.8),World
ANDYG002-B1,Cave Story - Doukutsu Monogatari (World) (Zh) (v0.8.8),World
00000000-00,Cells & Bombs (World),World
T-50146-11,"Centurion - Defender of Rome (USA, Europe)",USA
T-50146-11,"Centurion - Defender of Rome (USA, Europe) (Sega Channel)",USA
MK-1047-00,"Chakan (USA, Europe)",USA
MK-1047-00,"Chakan (USA, Europe) (Sega Channel)",USA
MK-1010-00,Chameleon Kid (Japan) (En),Japan
T-081296-00,Champions World Class Soccer (World) (Beta),World
T-081296-00,"Champions World Class Soccer (World) (En,Fr,De,Es)",World
T-58056-00,Championship Bowling (USA),USA
T-87076-00,Championship Pool (USA),USA
T-97046-00,Championship Pro-Am (USA),USA
0000-0001,Chaoji Mahjong Club (Taiwan),Taiwan
Txxxxx-00,"Chaos Engine 2, The (Europe) (Proto)",Europe
T-104066-00,"Chaos Engine, The (Europe)",Europe
00000000-00,"Chaperon Violet, Le (World) (Fr) (Proto)",World
T-11106-00,Chase H.Q. II (USA),USA
