system,game_name,ch_name,id
3do,Moon Cradle - Igyou no Hanayome (Japan),月球摇篮 异型的新娘（日版）,3DO#298
3do,Multimedia Shinsho - Driving School - Futsuu Menkyo Gakka-hen (Japan),,3DO#299
3do,"Murphy da yo Zen'in Shuugou!! (Japan) (En,Ja)","全员集合！（日版） (En,Ja)",3DO#300
3do,Myst (Germany),神秘岛（德国版）,3DO#301
3do,Myst (Japan),神秘岛（日版）,3DO#302
3do,Myst (Japan) (Rev A),神秘岛（日版） （修正版 A）,3DO#303
3do,Myst (USA),神秘岛（美版）,3DO#304
3do,N.O.B. (Neo Organic Bioform) (Japan),,3DO#305
3do,Nais How's 1 - Front How's ('95.8.1 Version 1.0 R2.0) (Japan),,3DO#306
3do,"Naoko to Hide-bou - Kanji no Tensai 1 - Bushu-hen, Bushu no Namae ga Tanoshii Chou Kioku-hou (Japan)",漢字の天才１　部首編・部首の名前が楽しい超記憶法（日版）,3DO#307
3do,Naoko to Hide-bou - Sansuu no Tensai 1 - Wa to Sa no Bunshoudai Tsurukamezan Part I (Butsubutsu Koukan no Maki) (Japan),算数の天才１　和と差の文章題・つるカメ算パートⅠ（物々交換の巻）(Butsubutsu Koukan no Maki) （日版）,3DO#308
