system,game_id,game_name,ch_name,img
pcecd,PCECD#174,Gyuwambler Jiko Chuushinha - Gekitou 36 Janshi (Japan) (Alt),自我中心派麻将 激斗36雀士 （日版） (Alt),https://data.yang2000ling.com/img/pcecd_200/PCECD174.jpg
pcecd,PCECD#175,Gyuwambler Jiko Chuushinha - Mahjong Puzzle Collection (Japan),自我中心派麻将 麻将谜题合集 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD174.jpg
pcecd,PCECD#176,Hataraku Shoujo - Tekipaki Working Love (Japan),乐天少女俱乐部 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD176.jpg
pcecd,PCECD#177,Hatsukoi Monogatari (Japan) (Rev 1),初恋物语 （日版） （修正版 1）,https://data.yang2000ling.com/img/pcecd_200/PCECD178.jpg
pcecd,PCECD#178,Hatsukoi Monogatari (Japan) (Rev 2),初恋物语 （日版） （修正版 2）,https://data.yang2000ling.com/img/pcecd_200/PCECD178.jpg
pcecd,PCECD#179,Hawiian Island Girls (USA) (Unl),夏威夷岛的女孩们 （美版） （非官方版）,https://data.yang2000ling.com/img/pcecd_200/PCECD179.jpg
pcecd,PCECD#180,Hawk F-123 (Japan),鹰 F-123 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD180.jpg
pcecd,PCECD#181,Hellfire S - The Another Story (Japan),地狱火S （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD181.jpg
pcecd,PCECD#182,Henshin Engine (USA) (Unl) (Demo),变身动机 （美版） （非官方版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD182.jpg
pcecd,PCECD#183,High Grenadier (Japan),高抛弹兵 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD183.jpg
pcecd,PCECD#184,Hihou Densetsu - Chris no Bouken (Japan),秘宝伝説 克里斯的冒险 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD184.jpg
pcecd,PCECD#185,Himitsu no Hanazono (Japan),秘密花园 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD185.jpg
pcecd,PCECD#186,Horror Story (Japan),恐怖故事 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD186.jpg
pcecd,PCECD#187,Hu PGA Tour - PowerGolf 2 - Golfer (Japan),胡PGA巡回赛-强力高尔夫2-高尔夫球手 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD187.jpg
pcecd,PCECD#188,Human Sports Festival (Japan),运动大集合 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD188.jpg
pcecd,PCECD#189,Hyaku Monogatari - Honto ni Atta Kowai Hanashi (Japan),百物语~真的有恐怖的故事~ （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD189.jpg
pcecd,PCECD#190,Hyper Dyne - SideArms Special (Japan),绝对合体 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD190.jpg
pcecd,PCECD#191,Hyper Dyne - SideArms Special (Japan) (Alt),绝对合体 （日版） (Alt),https://data.yang2000ling.com/img/pcecd_200/PCECD190.jpg
pcecd,PCECD#192,Hyper Wars (Japan) (SAAS),世纪战争 （日版） (SAAS),https://data.yang2000ling.com/img/pcecd_200/PCECD192.jpg
pcecd,PCECD#193,Hyper Wars (Japan) (SABS),世纪战争 （日版） (SABS),https://data.yang2000ling.com/img/pcecd_200/PCECD192.jpg
pcecd,PCECD#194,Hypernova Blast (USA) (Unl),超新星爆发 （美版） （非官方版）,https://data.yang2000ling.com/img/pcecd_200/PCECD194.jpg
pcecd,PCECD#195,Iga Ninden Gaiou (Japan),伊賀忍伝凱王 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD195.jpg
pcecd,PCECD#196,ImageFight II - Operation Deepstriker (Japan),梦幻战机2 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD196.jpg
pcecd,PCECD#197,Implode (USA) (Unl),内爆 （美版） （非官方版）,https://data.yang2000ling.com/img/pcecd_200/PCECD197.jpg
pcecd,PCECD#198,In Magical Adventure - Fray CD - Xak Gaiden (Japan),萨克外传 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD198.jpg
pcecd,PCECD#199,Inoue Mami - Kono Hoshi ni Tatta Hitori no Kimi (Japan),井上麻美～这颗星球上唯一的你～ （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD199.jpg
pcecd,PCECD#200,Insanity (USA) (Unl),精神失常 （美版） （非官方版）,https://data.yang2000ling.com/img/pcecd_200/PCECD200.jpg
pcecd,PCECD#201,IQ Panic (Japan),智商恐慌 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD201.jpg
pcecd,PCECD#202,It Came from the Desert (USA),沙丘魔蚁 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD202.jpg
pcecd,PCECD#203,"J. B. Harold Murder Club (USA) (En,Ja)","刑事J.B.哈罗德事件簿杀人俱乐部 （美版） (En,Ja)",https://data.yang2000ling.com/img/pcecd_200/PCECD203.jpg
pcecd,PCECD#204,J. B. Harold Series 1 - Murder Club (Japan),刑事J.B.哈罗德事件簿杀人俱乐部 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD203.jpg
pcecd,PCECD#205,J. League Tremendous Soccer '94 (Japan),J联盟足球'94 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD205.jpg
pcecd,PCECD#206,Jack Nicklaus Turbo Golf (USA),杰克尼可拉斯高尔夫 （美版）,https://data.yang2000ling.com/img/pcecd_200/PCECD206.jpg
pcecd,PCECD#207,Jack Nicklaus' World Tour Golf - 162 Holes (Japan),杰克尼可拉斯高尔夫世界巡回赛 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD206.jpg
pcecd,PCECD#208,Jantei Monogatari (Japan),雀侦物语 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD208.jpg
pcecd,PCECD#209,Jantei Monogatari 2 - Uchuu Tantei Diban - Kanketsu-hen (Japan),雀侦物语2 ～宇宙探偵ディバン～　完結編 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD209.jpg
pcecd,PCECD#210,Jantei Monogatari 2 - Uchuu Tantei Diban - Shutsudou-hen (Japan),雀侦物语2 ～宇宙探偵ディバン～　出动編 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD210.jpg
pcecd,PCECD#211,Jantei Monogatari 3 - Saver Angels (Japan),雀侦物语3 拯救天使 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD211.jpg
pcecd,PCECD#212,Jim Power in Mutant Planet (Japan),吉姆力量在突变的星球上 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD212.jpg
pcecd,PCECD#213,John Madden Duo CD Football (USA) (RE),约翰·马登足球 （美版） (RE),https://data.yang2000ling.com/img/pcecd_200/PCECD213.jpg
pcecd,PCECD#214,Juuouki (Japan) (Rev 4),兽王记 （日版） （修正版 4）,https://data.yang2000ling.com/img/pcecd_200/PCECD214.jpg
pcecd,PCECD#215,Juuouki (Japan) (Rev 5),兽王记 （日版） （修正版 5）,https://data.yang2000ling.com/img/pcecd_200/PCECD214.jpg
pcecd,PCECD#216,Kabuki Ittouryoudan (Japan),一刀凉谈 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD216.jpg
pcecd,PCECD#217,Kagami no Kuni no Legend (Japan),镜之国的传说 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD217.jpg
pcecd,PCECD#218,Kaizou Choujin Shubibinman 3 - Ikai no Princess (Japan),改造超人3 异界的公主 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD218.jpg
pcecd,PCECD#219,Kakutou Haou Densetsu - Algunos (Japan),格斗霸王传说 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD219.jpg
pcecd,PCECD#220,Kawa no Nushitsuri - Shizen-ha (Japan),川釣高手 自然派 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD220.jpg
pcecd,PCECD#221,Kaze Kiri - Ninja Action (Japan),风雾 忍者行动 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD221.jpg
pcecd,PCECD#222,Kaze no Densetsu Xanadu (Japan) (Demo),风之传说 （日版） （演示版）,https://data.yang2000ling.com/img/pcecd_200/PCECD222.jpg
pcecd,PCECD#223,Kiaidan 00 (Japan),机甲战士00（日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD223.jpg
pcecd,PCECD#224,"Kick Boxing, The (Japan)",拳击 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD224.jpg
pcecd,PCECD#225,Kisou Louga (Japan) (FABT),機装ルーガ （日版） (FABT),https://data.yang2000ling.com/img/pcecd_200/PCECD225.jpg
pcecd,PCECD#226,Kisou Louga II - The Ends of Shangrila (Japan),機装ルーガ2 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD226.jpg
pcecd,PCECD#227,KO Seiki Beast Sanjuushi - Gaia Fukkatsu - Kanketsu-hen (Japan),KO世纪野兽士～盖亚复活～完结篇 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD227.jpg
pcecd,PCECD#228,Kuusou Kagaku Sekai Gulliver Boy (Japan),空想科学世界 （日版）,https://data.yang2000ling.com/img/pcecd_200/PCECD228.jpg
pcecd,PCECD#229,L-Dis (Japan),,https://data.yang2000ling.com/img/pcecd_200/PCECD229.jpg
