system,game_id,game_name,ch_name,dlc_id,dlc_name,region
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0001,Superman Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCP0001,TearawayTM Competition Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYMP0010,TearawayTM Minipack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGCO0007,Thanksgiving Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWBDCCO0018,The Flash Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCMOVELK0001,The LittleBigPlanetTM2 - Move Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCDSNBLK0001,The Nightmare Before Christmas Level Kit,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCO0006,Toro Costume,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGLK0002,Valentine's Day Minipack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCWARNCK0001,WatchmenTM Costume Pack,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCLEV5CK0001,White Knight Chronicles CostumesTM,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCORIGLK0009,Winter Creator Kit,USA
psvdlc,PCSA00017,LittleBigPlanet PlayStation Vita,小小大星球 PlayStation Vita [英文版],DLC-LBPDLCSONYCK0003,Wipeout® Minipack,USA
